,name,company,year,Price,kms_driven,fuel_type
87,honda city 1.5,honda,2005,90000,50000,Petrol
88,hyundai elite i20,hyundai,2014,415000,32000,Petrol
89,skoda fabia 1.2l,skoda,2011,155000,45863,Diesel
90,bmw 3 series,bmw,2011,600000,60500,Petrol
91,maruti suzuki a,maruti,2011,189500,12500,Petrol
92,toyota etios gd,toyota,2013,350000,60000,Diesel
93,ford figo diesel,ford,2012,210000,35000,Diesel
94,maruti suzuki swift,maruti,2014,390000,35000,Petrol
95,chevrolet beat lt,chevrolet,2012,135000,45000,Diesel
96,bmw 7 series,bmw,2009,1600000,35000,Petrol
97,mahindra xuv500 w8,mahindra,2013,701000,38000,Diesel
98,hyundai i10 magna,hyundai,2014,265000,18000,Petrol
99,hyundai verna fluidic,hyundai,2015,525000,35000,Diesel
100,maruti suzuki swift,maruti,2013,372000,13349,Petrol
101,maruti suzuki ertiga,maruti,2016,635000,29000,Petrol
102,ford ecosport titanium,ford,2014,550000,44000,Diesel
103,maruti suzuki ertiga,maruti,2016,575000,29000,Petrol
104,maruti suzuki ertiga,maruti,2013,485000,42000,Diesel
105,maruti suzuki alto,maruti,2012,155000,14000,Petrol
106,hyundai grand i10,hyundai,2014,345000,49000,Diesel
107,honda amaze 1.2,honda,2014,325000,42000,Petrol
108,hyundai i20 asta,hyundai,2012,329500,36200,Diesel
109,ford figo diesel,ford,2014,195000,50000,Diesel
110,maruti suzuki eeco,maruti,2015,251111,55000,Petrol
111,maruti suzuki ertiga,maruti,2014,569999,45000,Petrol
112,maruti suzuki esteem,maruti,2007,69999,51000,Petrol
113,maruti suzuki ritz,maruti,2014,299999,19000,Petrol
114,maruti suzuki dzire,maruti,2009,220000,46000,Petrol
115,maruti suzuki ritz,maruti,2013,399999,33000,Diesel
116,maruti suzuki swift,maruti,2013,372000,13349,Petrol
117,maruti suzuki dzire,maruti,2015,450000,104000,Diesel
118,toyota etios liva,toyota,2014,270000,55000,Petrol
119,hyundai i20 sportz,hyundai,2011,350000,33333,Diesel
120,chevrolet spark,chevrolet,2012,158400,33600,Petrol
121,maruti suzuki alto,maruti,2017,350000,5600,Petrol
122,nissan micra xv,nissan,2011,179000,41000,Petrol
123,maruti suzuki swift,maruti,2007,125000,70000,Petrol
124,maruti suzuki alto,maruti,2018,200000,7500,Petrol
125,honda amaze 1.5,honda,2013,299000,45000,Diesel
126,maruti suzuki alto,maruti,2015,220000,38000,Petrol
127,chevrolet beat,chevrolet,2015,150000,30000,Petrol
128,honda city 1.5,honda,2010,285000,35000,Petrol
129,ford ecosport trend,ford,2016,830000,24330,Diesel
130,hyundai i20 asta,hyundai,2009,210000,65480,Petrol
131,maruti suzuki swift,maruti,2013,340000,41000,Petrol
132,tata indica v2,tata,2006,90000,20000,Petrol
133,hindustan motors ambassador,hindustan,2000,70000,200000,Diesel
134,toyota corolla altis,toyota,2010,289999,70000,Petrol
135,toyota corolla altis,toyota,2012,349999,59000,Petrol
136,toyota innova 2.5,toyota,2012,849999,99000,Diesel
137,volkswagen jetta highline,volkswagen,2014,749999,46000,Diesel
138,volkswagen polo comfortline,volkswagen,2015,399999,2800,Petrol
139,volkswagen polo,volkswagen,2014,274999,32000,Petrol
140,mahindra scorpio,mahindra,2015,984999,22000,Diesel
141,renault duster,renault,2014,449999,50000,Diesel
142,honda amaze,honda,2015,344999,22000,Petrol
143,nissan sunny,nissan,2012,224999,45000,Petrol
144,hyundai elite i20,hyundai,2018,599999,21000,Petrol
145,renault kwid,renault,2016,244999,11000,Petrol
146,renault duster,renault,2013,399999,41000,Diesel
147,ford ecosport,ford,2017,489999,39000,Petrol
148,renault duster,renault,2014,474999,50000,Diesel
149,mahindra scorpio vlx,mahindra,2011,499999,66000,Diesel
150,maruti suzuki alto,maruti,2018,310000,3000,Petrol
151,chevrolet spark lt,chevrolet,2010,85000,45000,Petrol
152,datsun redi go,datsun,2016,245000,7000,Petrol
153,maruti suzuki swift,maruti,2010,189500,38500,Diesel
154,fiat punto emotion,fiat,2012,169500,37200,Diesel
155,maruti suzuki swift,maruti,2010,159500,43200,Diesel
156,toyota etios gd,toyota,2013,275000,24800,Petrol
157,hyundai i20 sportz,hyundai,2014,370000,60000,Diesel
158,hyundai i10 sportz,hyundai,2010,168000,45872,Petrol
159,chevrolet beat lt,chevrolet,2011,150000,40000,Diesel
160,chevrolet beat ls,chevrolet,2011,145000,45000,Diesel
161,chevrolet beat lt,chevrolet,2012,98500,38000,Diesel
162,mahindra scorpio vlx,mahindra,2014,699000,50000,Diesel
163,tata indigo cs,tata,2011,85000,11400,Diesel
164,toyota corolla altis,toyota,2015,575000,42000,Petrol
165,honda city 1.5,honda,2014,549000,39000,Petrol
166,maruti suzuki swift,maruti,2011,209000,47000,Diesel
167,hyundai eon era,hyundai,2013,185000,27000,Petrol
168,mahindra scorpio s10,mahindra,2015,900000,97200,Diesel
169,mahindra xuv500,mahindra,2014,699999,52000,Diesel
170,honda brio,honda,2012,224999,30000,Petrol
171,ford fiesta,ford,2011,274999,55000,Diesel
172,honda amaze,honda,2013,284999,46000,Diesel
173,honda city,honda,2015,599999,30000,Diesel
174,maruti suzuki wagon,maruti,2012,199999,44000,Petrol
175,honda city,honda,2014,544999,45000,Diesel
176,hyundai i20,hyundai,2009,199000,31000,Petrol
177,tata indigo ecs,tata,2016,320000,175430,Diesel
178,hyundai fluidic verna,hyundai,2015,540000,38000,Diesel
179,mahindra quanto c8,mahindra,2013,340000,37000,Diesel
180,fiat petra elx,fiat,2008,75000,65000,Petrol
181,skoda fabia 1.2l,skoda,2011,159500,38200,Diesel
182,mini cooper s,mini,2013,1891111,13000,Petrol
183,hyundai santro xing,hyundai,2005,49000,7500,Petrol
184,maruti suzuki ciaz,maruti,2016,700000,3350,Petrol
185,maruti suzuki zen,maruti,2000,55000,60000,Petrol
186,honda city,honda,2015,448999,54000,Petrol
187,hyundai creta 1.6,hyundai,2017,895000,32000,Petrol
188,mahindra scorpio slx,mahindra,2007,355000,75000,Diesel
189,mahindra scorpio sle,mahindra,2012,565000,62000,Diesel
190,toyota innova 2.5,toyota,2006,365000,73000,Diesel
191,maruti suzuki alto,maruti,2011,145000,41000,Petrol
192,maruti suzuki wagon,maruti,2011,210000,35000,Petrol
193,tata nano cx,tata,2013,40000,2200,Petrol
194,maruti suzuki alto,maruti,2013,125000,39000,Petrol
195,maruti suzuki wagon,maruti,2009,135000,45000,Petrol
196,maruti suzuki swift,maruti,2006,135000,45000,Petrol
197,tata sumo victa,tata,2012,285000,65000,Diesel
198,maruti suzuki wagon,maruti,2010,145000,54870,Petrol
199,maruti suzuki alto,maruti,2010,135000,34580,Petrol
200,volkswagen passat diesel,volkswagen,2009,450000,97000,Diesel
201,renault scala rxl,renault,2015,375000,25000,Diesel
202,mahindra quanto c8,mahindra,2013,375000,20000,Diesel
203,hyundai grand i10,hyundai,2014,365000,20000,Petrol
204,hyundai i20 active,hyundai,2015,500000,18000,Petrol
205,mahindra xylo e4,mahindra,2012,400000,35000,Diesel
206,mahindra jeep mm,mahindra,2019,390000,60,Diesel
207,renault duster 110ps,renault,2012,501000,35000,Diesel
208,mahindra bolero sle,mahindra,2013,330000,80200,Diesel
209,force motors force,force,2015,580000,3200,Diesel
210,maruti suzuki sx4,maruti,2012,265000,46000,Diesel
211,mahindra jeep cl550,mahindra,2019,379000,0000,Diesel
212,maruti suzuki alto,maruti,2015,219000,5000,Petrol
213,mahindra jeep cl550,mahindra,2018,385000,588,Diesel
214,toyota etios,toyota,2011,275000,36000,Diesel
215,volkswagen polo,volkswagen,2015,330000,38000,Diesel
216,honda city zx,honda,2008,110000,45000,Petrol
217,maruti suzuki wagon,maruti,2006,80000,71200,Petrol
218,honda city vx,honda,2016,519000,52000,Diesel
219,mahindra thar crde,mahindra,2016,730000,29000,Diesel
220,mitsubishi pajero sport,mitsubishi,2015,1475000,47000,Diesel
221,audi a4 1.8,audi,2009,699000,47000,Petrol
222,mercedes benz gla,mercedes,2015,2000000,20000,Diesel
223,land rover freelander,land,2015,2100000,30000,Diesel
224,renault kwid rxt,renault,2017,340000,5000,Petrol
225,tata aria pleasure,tata,2014,390000,35000,Diesel
226,mercedes benz b,mercedes,2014,1400000,31000,Petrol
227,datsun go t,datsun,2016,245000,7000,Petrol
228,tata indigo ecs,tata,2016,320000,175430,Diesel
229,tata indigo ecs,tata,2016,320000,175400,Diesel
230,honda jazz vx,honda,2016,450000,41000,Petrol
231,honda amaze 1.2,honda,2014,311000,33000,Petrol
232,honda amaze,honda,2013,284999,46000,Diesel
233,honda city,honda,2012,399999,45000,Petrol
234,honda city,honda,2015,599999,39000,Diesel
235,honda amaze,honda,2015,344999,22000,Petrol
236,audi a4 1.8,audi,2009,699000,47000,Petrol
237,force motors force,force,2015,580000,3200,Diesel
238,mahindra scorpio s4,mahindra,2015,855000,30000,Diesel
239,hyundai i20 active,hyundai,2015,535000,37000,Diesel
240,mini cooper s,mini,2013,1891111,13000,Petrol
241,maruti suzuki ciaz,maruti,2017,699000,14000,Petrol
242,chevrolet tavera neo,chevrolet,2013,375000,55000,Diesel
243,honda amaze,honda,2013,284999,46000,Diesel
244,hyundai eon sportz,hyundai,2012,178000,30000,Petrol
245,tata sumo gold,tata,2013,300000,50000,Diesel
246,maruti suzuki wagon,maruti,2003,90000,45000,Petrol
247,maruti suzuki esteem,maruti,2006,95000,45000,Petrol
248,maruti suzuki eeco,maruti,2015,255000,9300,Petrol
249,chevrolet enjoy 1.4,chevrolet,2013,245000,55000,Diesel
250,hyundai i20 asta,hyundai,2012,329500,36200,Diesel
251,ford figo diesel,ford,2014,195000,50000,Diesel
252,maruti suzuki eeco,maruti,2015,251111,55000,Petrol
253,maruti suzuki ertiga,maruti,2014,569999,45000,Petrol
254,maruti suzuki esteem,maruti,2007,69999,51000,Petrol
255,maruti suzuki ritz,maruti,2014,299999,19000,Petrol
256,maruti suzuki dzire,maruti,2009,220000,46000,Petrol
257,maruti suzuki ritz,maruti,2013,399999,33000,Diesel
258,maruti suzuki sx4,maruti,2010,249999,36000,Petrol
259,maruti suzuki wagon,maruti,2015,289999,22000,Petrol
260,mini cooper s,mini,2013,1891111,13500,Petrol
261,nissan terrano xl,nissan,2015,499999,60000,Diesel
262,renault duster 85,renault,2013,489999,27000,Diesel
263,renault duster 85,renault,2014,489999,59000,Diesel
264,renault duster 85,renault,2015,549999,19000,Diesel
265,maruti suzuki dzire,maruti,2013,380000,30000,Petrol
266,renault kwid rxt,renault,2018,325000,15000,Petrol
267,maruti suzuki maruti,maruti,2003,57000,56758,Petrol
268,renault kwid 1.0,renault,2018,349999,10000,Petrol
269,renault lodgy 85,renault,2018,689999,20000,Diesel
270,renault scala rxl,renault,2014,349999,49000,Diesel
271,hyundai grand i10,hyundai,2014,410000,41000,Petrol
272,maruti suzuki swift,maruti,2011,225000,45000,Petrol
273,chevrolet beat ls,chevrolet,2010,120000,43000,Petrol
274,tata indigo ecs,tata,2016,320000,175430,Diesel
275,hyundai santro xing,hyundai,2000,59000,56450,Petrol
276,hyundai fluidic verna,hyundai,2015,540000,38000,Diesel
277,chevrolet beat ls,chevrolet,2010,80000,56000,Petrol
278,mahindra quanto c8,mahindra,2013,340000,37000,Diesel
279,fiat petra elx,fiat,2008,75000,65000,Petrol
280,chevrolet beat ls,chevrolet,2015,220000,32700,Petrol
281,skoda fabia 1.2l,skoda,2011,159500,38200,Diesel
282,ford ecosport titanium,ford,2016,599000,30000,Diesel
283,hyundai accent glx,hyundai,2006,80000,56000,Petrol
284,mahindra tuv300 t4,mahindra,2016,675000,9000,Diesel
285,mini cooper s,mini,2013,1891111,13000,Petrol
286,mini cooper s,mini,2013,1891111,13000,Petrol
287,tata indica v2,tata,2008,150000,11000,Petrol
288,mini cooper s,mini,2013,1891111,13000,Petrol
289,tata indigo cs,tata,2009,72500,46000,Diesel
290,maruti suzuki swift,maruti,2019,610000,73,Petrol
291,mahindra scorpio vlx,mahindra,2004,230000,160000,Diesel
292,honda accord,honda,2009,175000,58559,Petrol
293,mahindra scorpio s4,mahindra,2015,855000,30000,Diesel
294,chevrolet tavera neo,chevrolet,2013,375000,55000,Diesel
295,ford ecosport titanium,ford,2014,520000,57000,Diesel
296,maruti suzuki ertiga,maruti,2015,524999,50000,Diesel
297,honda amaze,honda,2014,299999,37000,Petrol
298,maruti suzuki dzire,maruti,2012,299999,40000,Petrol
299,honda city,honda,2011,284999,55000,Petrol
300,mahindra scorpio 2.6,mahindra,2007,220000,170000,Diesel
301,maruti suzuki dzire,maruti,2014,424999,55000,Diesel
302,honda city,honda,2015,644999,39000,Petrol
303,honda mobilio,honda,2014,399999,44000,Petrol
304,toyota corolla altis,toyota,2009,199999,65000,Petrol
305,honda city,honda,2014,584999,39000,Petrol
306,skoda laura,skoda,2012,349999,44000,Diesel
307,renault duster,renault,2015,449999,49000,Diesel
308,maruti suzuki ertiga,maruti,2018,799999,9000,Diesel
309,maruti suzuki dzire,maruti,2015,444999,45000,Diesel
310,mahindra xuv500,mahindra,2014,649999,47000,Diesel
311,hyundai verna fluidic,hyundai,2012,444999,40000,Diesel
312,maruti suzuki vitara,maruti,2016,689999,29000,Diesel
313,maruti suzuki wagon,maruti,2016,344999,15000,Petrol
314,mahindra scorpio,mahindra,2015,944999,45000,Diesel
315,honda amaze,honda,2014,274999,35000,Petrol
316,mahindra xuv500,mahindra,2013,689999,80000,Diesel
317,mahindra scorpio,mahindra,2013,574999,68000,Diesel
318,skoda laura,skoda,2013,374999,50000,Diesel
319,volkswagen polo,volkswagen,2010,199999,60000,Diesel
320,hyundai elite i20,hyundai,2016,549999,9000,Petrol
321,tata manza aura,tata,2012,130000,72000,Diesel
322,chevrolet sail uva,chevrolet,2013,210000,60000,Petrol
323,renault duster 110,renault,2012,501000,38000,Diesel
324,hyundai verna fluidic,hyundai,2013,401000,45000,Diesel
325,audi a4 2.0,audi,2012,1350000,40000,Diesel
326,hyundai elantra sx,hyundai,2013,600000,20000,Petrol
327,mahindra scorpio vlx,mahindra,2013,610000,35000,Diesel
328,mahindra kuv100 k8,mahindra,2016,400000,20000,Diesel
329,renault scala rxl,renault,2015,375000,25000,Diesel
330,mahindra quanto c8,mahindra,2013,375000,20000,Diesel
331,hyundai grand i10,hyundai,2014,365000,20000,Petrol
332,hyundai i20 active,hyundai,2015,500000,18000,Petrol
333,mahindra xylo e4,mahindra,2012,400000,35000,Diesel
334,hyundai grand i10,hyundai,2017,524999,6821,Petrol
335,hyundai i20,hyundai,2014,449999,23000,Petrol
336,hyundai eon,hyundai,2014,174999,14000,Petrol
337,hyundai i10,hyundai,2012,244999,38000,Petrol
338,hyundai i20 active,hyundai,2015,574999,35000,Diesel
339,datsun redi go,datsun,2017,244999,22000,Petrol
340,toyota etios liva,toyota,2011,239999,41000,Petrol
341,hyundai accent,hyundai,2010,99999,45000,Petrol
342,hyundai verna,hyundai,2014,489999,44000,Diesel
343,maruti suzuki swift,maruti,2013,324999,45000,Diesel
344,toyota fortuner,toyota,2011,1074999,52000,Diesel
345,hyundai i10 sportz,hyundai,2012,230000,34000,Petrol
346,mahindra bolero power,mahindra,2018,699000,1800,Diesel
347,mahindra xuv500,mahindra,2015,1000000,15000,Diesel
348,honda city 1.5,honda,2010,240000,400000,Petrol
349,chevrolet spark lt,chevrolet,2009,110000,44000,Petrol
350,mahindra jeep mm,mahindra,2019,390000,60,Diesel
351,renault duster 110ps,renault,2012,501000,35000,Diesel
352,mahindra xuv500,mahindra,2016,1130000,72000,Diesel
353,tata indigo ecs,tata,2014,250000,40000,Diesel
354,mahindra bolero sle,mahindra,2013,330000,80200,Diesel
355,force motors force,force,2015,580000,3200,Diesel
356,skoda rapid elegance,skoda,2013,340000,48000,Diesel
357,tata vista quadrajet,tata,2011,120000,90000,Diesel
358,maruti suzuki alto,maruti,2015,265000,12000,Petrol
359,maruti suzuki sx4,maruti,2012,265000,46000,Diesel
360,maruti suzuki zen,maruti,2003,85000,69900,Petrol
361,mahindra jeep cl550,mahindra,2019,379000,0000,Diesel
362,hyundai i10 magna,hyundai,2011,175000,45000,Petrol
363,maruti suzuki alto,maruti,2015,219000,5000,Petrol
364,maruti suzuki swift,maruti,2016,350000,166000,Diesel
365,honda city zx,honda,2008,149000,42000,Petrol
366,mahindra jeep cl550,mahindra,2018,385000,588,Diesel
367,mahindra jeep mm,mahindra,2006,425000,122,Diesel
368,chevrolet beat diesel,chevrolet,2017,150000,62000,Diesel
369,honda city 1.5,honda,2010,225000,70000,Petrol
370,hyundai verna 1.4,hyundai,2014,375000,36000,Petrol
371,toyota innova 2.5,toyota,2012,770000,0,Diesel
372,maruti suzuki maruti,maruti,1995,30000,55000,Petrol
373,toyota etios,toyota,2011,275000,36000,Diesel
374,volkswagen polo,volkswagen,2015,330000,38000,Diesel
375,maruti suzuki swift,maruti,2014,335000,55000,Diesel
376,hyundai elite i20,hyundai,2015,450000,20000,Diesel
377,maruti suzuki swift,maruti,2012,225000,40000,Petrol
378,maruti suzuki versa,maruti,2004,80000,50000,Petrol
379,tata indigo lx,tata,2016,130000,104000,Diesel
380,volkswagen vento konekt,volkswagen,2011,245000,65000,Diesel
381,mercedes benz c,mercedes,2002,399000,41000,Petrol
382,maruti suzuki ertiga,maruti,2013,450000,90000,Diesel
383,honda city,honda,2000,65000,80000,Petrol
384,hyundai santro xing,hyundai,2006,75000,46000,Petrol
385,maruti suzuki omni,maruti,2001,70000,70000,Petrol
386,hyundai sonata transform,hyundai,2017,190000,36469,Diesel
387,hyundai elite i20,hyundai,2018,600000,7800,Petrol
388,volkswagen vento konekt,volkswagen,2011,245000,65000,Diesel
389,maruti suzuki alto,maruti,2017,240000,60000,Petrol
390,maruti suzuki alto,maruti,2011,155000,32000,Petrol
391,honda jazz s,honda,2009,169999,24695,Petrol
392,hyundai grand i10,hyundai,2017,450000,15141,Petrol
393,maruti suzuki zen,maruti,2001,40000,40000,Petrol
394,mahindra scorpio w,mahindra,2012,165000,65000,Diesel
395,maruti suzuki alto,maruti,2014,270000,22000,Petrol
396,hyundai grand i10,hyundai,2016,280000,59910,Diesel
397,mahindra xuv500 w8,mahindra,2012,560000,100000,Diesel
398,hyundai creta 1.6,hyundai,2016,950000,25000,Petrol
399,hyundai i20 magna,hyundai,2013,310000,35000,Petrol
400,renault duster 85,renault,2015,715000,65000,Diesel
401,hyundai grand i10,hyundai,2014,340000,35000,Petrol
402,honda brio v,honda,2012,235000,33000,Petrol
403,mahindra tuv300 t4,mahindra,2017,610000,68000,Diesel
404,chevrolet spark ls,chevrolet,2010,95000,23000,Petrol
405,mahindra tuv300 t8,mahindra,2018,1000000,4500,Diesel
406,maruti suzuki swift,maruti,2015,220000,129000,Diesel
407,nissan x trail,nissan,2019,1200000,300,Diesel
408,maruti suzuki alto,maruti,2015,230000,5000,Petrol
409,ford ikon 1.3,ford,2001,45000,65000,Petrol
410,toyota fortuner 3.0,toyota,2010,940000,131000,Diesel
411,tata manza elan,tata,2010,155555,111111,Petrol
412,mercedes benz a,mercedes,2013,1500000,14000,Petrol
413,chevrolet beat ls,chevrolet,2016,210000,22000,Diesel
414,ford ecosport trend,ford,2013,495000,38000,Diesel
415,tata indigo ls,tata,2016,125000,70000,Diesel
416,hyundai i20 magna,hyundai,2010,195000,36000,Petrol
417,volkswagen vento highline,volkswagen,2015,550000,34000,Diesel
418,renault kwid rxt,renault,2015,270000,43000,Petrol
419,ford ecosport titanium,ford,2014,500000,40000,Diesel
420,honda amaze 1.5,honda,2016,240000,160000,Diesel
421,hyundai verna 1.6,hyundai,2017,800000,12000,Petrol
422,bmw 5 series,bmw,2011,1299000,49000,Diesel
423,skoda superb 1.8,skoda,2011,530000,68000,Petrol
424,audi q3 2.0,audi,2013,1499000,37000,Diesel
425,mahindra bolero di,mahindra,2012,220000,59466,Diesel
426,mahindra scorpio s10,mahindra,2015,900000,97200,Diesel
427,ford figo duratorq,ford,2012,250000,99000,Diesel
428,maruti suzuki wagon,maruti,2018,395000,25500,Petrol
429,mahindra logan diesel,mahindra,2009,130000,66000,Petrol
430,tata nano genx,tata,2010,32000,44005,Petrol
431,mahindra tuv300 t4,mahindra,2016,540000,35000,Diesel
432,mahindra tuv300 t4,mahindra,2016,540000,35000,Diesel
433,hyundai elite i20,hyundai,2015,405000,28000,Petrol
434,hyundai elite i20,hyundai,2015,400000,30000,Petrol
435,honda city sv,honda,2017,760000,4000,Petrol
436,maruti suzuki baleno,maruti,2016,500000,28000,Petrol
437,ford figo petrol,ford,2011,175000,75000,Petrol
438,mahindra scorpio s10,mahindra,2015,900000,97200,Diesel
439,honda city,honda,2017,750000,3000,Petrol
440,hyundai elite i20,hyundai,2015,419000,20000,Petrol
441,maruti suzuki versa,maruti,2004,90000,50000,Petrol
442,hyundai eon era,hyundai,2018,140000,2110,Petrol
443,mitsubishi pajero sport,mitsubishi,2015,1540000,43222,Petrol
444,hyundai i10 magna,hyundai,2008,275000,100200,Petrol
445,toyota corolla h2,toyota,2003,150000,100000,Petrol
446,maruti suzuki swift,maruti,2011,230000,65,Petrol
447,tata indigo cs,tata,2015,123000,100000,Diesel
448,mahindra scorpio s10,mahindra,2015,900000,97200,Diesel
449,mahindra scorpio s10,mahindra,2015,900000,97200,Diesel
450,hyundai xcent base,hyundai,2016,300000,140000,Diesel
451,honda city,honda,2015,499999,55000,Petrol
452,hyundai accent executive,hyundai,2009,165000,48000,Petrol
453,maruti suzuki baleno,maruti,2016,498000,22000,Petrol
454,tata zest xe,tata,2018,480000,103553,Diesel
455,maruti suzuki dzire,maruti,2017,488000,80000,Diesel
456,tata sumo gold,tata,2014,250000,99000,Diesel
457,toyota corolla altis,toyota,2010,220000,58000,Petrol
458,maruti suzuki eeco,maruti,2013,290000,70000,LPG
459,toyota fortuner 3.0,toyota,2015,1525000,120000,Diesel
460,mahindra xuv500 w6,mahindra,2013,548900,49800,Diesel
461,tata tigor revotron,tata,2019,650000,100,Diesel
462,maruti suzuki 800,maruti,2001,55000,81876,Petrol
463,maruti suzuki ertiga,maruti,2015,550000,75000,Petrol
464,maruti suzuki versa,maruti,2004,90000,50000,Petrol
465,honda mobilio s,honda,2014,399000,44000,Diesel
466,maruti suzuki ertiga,maruti,2016,730000,55000,Diesel
467,maruti suzuki vitara,maruti,2017,725000,36000,Diesel
468,hyundai verna 1.6,hyundai,2016,195000,56000,Diesel
469,maruti suzuki swift,maruti,2007,130000,62000,Petrol
470,toyota fortuner 3.0,toyota,2015,1525000,120000,Diesel
471,maruti suzuki omni,maruti,2014,190000,6020,Petrol
472,honda amaze,honda,2013,250000,55700,Diesel
473,tata indica,tata,2005,80000,42000,Petrol
